iter	Passed	Remaining
542	1095	921
543	1096	919
544	1099	917
545	1101	915
546	1103	913
547	1105	911
548	1107	909
549	1109	907
550	1110	905
551	1112	903
552	1114	901
553	1116	899
554	1118	896
555	1120	894
556	1122	892
557	1124	890
558	1126	888
559	1128	886
560	1130	884
561	1132	882
562	1134	880
563	1136	878
564	1138	876
565	1140	874
566	1142	872
567	1144	870
568	1146	868
569	1148	866
570	1150	864
571	1151	861
572	1153	859
573	1155	857
574	1157	855
575	1159	853
576	1161	851
577	1163	849
578	1165	847
579	1167	845
580	1169	843
581	1171	841
582	1173	839
583	1175	837
584	1177	835
585	1179	833
586	1181	831
587	1183	829
588	1185	826
589	1186	824
590	1189	822
591	1191	820
592	1192	818
593	1195	816
594	1197	814
595	1198	812
596	1200	810
597	1202	808
598	1204	806
599	1206	804
600	1208	802
601	1210	800
602	1212	798
603	1214	796
604	1216	794
605	1218	792
606	1220	790
607	1222	788
608	1224	786
609	1226	784
610	1228	782
611	1230	780
612	1232	777
613	1234	775
614	1236	773
615	1238	771
616	1240	769
617	1242	767
618	1244	765
619	1246	763
620	1248	761
621	1250	759
622	1252	757
623	1253	755
624	1256	753
625	1257	751
626	1259	749
627	1261	747
628	1263	745
629	1265	743
630	1267	741
631	1269	739
632	1271	737
633	1273	735
634	1275	733
635	1277	731
636	1279	729
637	1281	727
638	1283	724
639	1285	722
640	1287	720
641	1289	718
642	1291	716
643	1293	714
644	1295	712
645	1297	710
646	1298	708
647	1300	706
648	1303	704
649	1305	702
650	1306	700
651	1309	698
652	1310	696
653	1312	694
654	1314	692
655	1316	690
656	1318	688
657	1320	686
658	1322	684
659	1324	682
660	1326	680
661	1328	678
662	1330	676
663	1332	674
664	1334	672
665	1336	670
666	1338	668
667	1340	666
668	1342	664
669	1344	662
670	1346	660
671	1348	658
672	1350	655
673	1352	653
674	1353	651
675	1356	649
676	1358	647
677	1359	645
678	1361	643
679	1363	641
680	1365	639
681	1367	637
682	1370	635
683	1372	633
684	1373	631
685	1375	629
686	1377	627
687	1379	625
688	1381	623
689	1383	621
690	1385	619
691	1387	617
692	1389	615
693	1391	613
694	1393	611
695	1395	609
696	1397	607
697	1399	605
698	1401	603
699	1403	601
700	1405	599
701	1407	597
702	1409	595
703	1411	593
704	1412	591
705	1414	589
706	1417	587
707	1418	585
708	1420	583
709	1423	581
710	1424	579
711	1426	577
712	1428	575
713	1430	573
714	1432	571
715	1434	569
716	1436	567
717	1438	565
718	1440	563
719	1442	561
720	1444	559
721	1447	557
722	1449	555
723	1451	553
724	1453	551
725	1454	549
726	1457	547
727	1459	545
728	1461	543
729	1462	541
730	1464	539
731	1466	537
732	1468	534
733	1470	533
734	1472	531
735	1474	528
736	1476	526
737	1478	524
738	1480	522
739	1482	520
740	1484	518
741	1486	516
742	1488	514
743	1490	512
744	1492	510
745	1494	508
746	1496	506
747	1498	504
748	1500	502
749	1502	500
750	1504	498
751	1506	496
752	1507	494
753	1509	492
754	1511	490
755	1513	488
756	1515	486
757	1517	484
758	1519	482
759	1521	480
760	1523	478
761	1525	476
762	1527	474
763	1529	472
764	1531	470
765	1533	468
766	1535	466
767	1537	464
768	1539	462
769	1541	460
770	1543	458
771	1545	456
772	1546	454
773	1548	452
774	1551	450
775	1553	448
776	1555	446
777	1557	444
778	1559	442
779	1561	440
780	1562	438
781	1565	436
782	1567	434
783	1569	432
784	1571	430
785	1573	428
786	1575	426
787	1576	424
788	1578	422
789	1580	420
790	1582	418
791	1584	416
792	1586	414
793	1588	412
794	1590	410
795	1592	408
796	1594	406
797	1596	404
798	1598	402
799	1600	400
800	1602	398
801	1604	396
802	1606	394
803	1608	392
804	1609	389
805	1612	388
806	1614	386
807	1615	383
808	1618	382
809	1620	380
810	1622	378
811	1623	375
812	1625	373
813	1627	371
814	1629	369
815	1631	367
816	1633	365
817	1635	363
818	1637	361
819	1639	359
820	1641	357
821	1643	355
822	1645	353
823	1647	351
824	1649	349
825	1651	347
826	1653	345
827	1655	343
828	1657	341
829	1659	339
830	1661	337
831	1662	335
832	1665	333
833	1667	331
834	1669	329
835	1671	327
836	1673	325
837	1675	323
838	1677	321
839	1679	319
840	1681	317
841	1682	315
842	1685	313
843	1687	311
844	1689	309
845	1691	307
846	1693	305
847	1695	303
848	1696	301
849	1698	299
850	1700	297
851	1702	295
852	1704	293
853	1706	291
854	1708	289
855	1710	287
856	1712	285
857	1714	283
858	1716	281
859	1718	279
860	1720	277
861	1722	275
862	1724	273
863	1726	271
864	1728	269
865	1730	267
866	1732	265
867	1734	263
868	1736	261
869	1738	259
870	1740	257
871	1742	255
872	1744	253
873	1746	251
874	1748	249
875	1750	247
876	1752	245
877	1754	243
878	1756	241
879	1758	239
880	1760	237
881	1762	235
882	1763	233
883	1765	231
884	1767	229
885	1769	227
886	1771	225
887	1773	223
888	1775	221
889	1777	219
890	1779	217
891	1781	215
892	1783	213
893	1785	211
894	1787	209
895	1789	207
896	1791	205
897	1793	203
898	1794	201
899	1796	199
900	1799	197
901	1801	195
902	1803	193
903	1805	191
904	1807	189
905	1809	187
906	1810	185
907	1813	183
908	1814	181
909	1816	179
910	1819	177
911	1820	175
912	1822	173
913	1824	171
914	1826	169
915	1828	167
916	1830	165
917	1832	163
918	1834	161
919	1836	159
920	1838	157
921	1840	155
922	1842	153
923	1844	151
924	1846	149
925	1848	147
926	1850	145
927	1852	143
928	1854	141
929	1856	139
930	1857	137
931	1859	135
932	1862	133
933	1864	131
934	1866	129
935	1868	127
936	1870	125
937	1872	123
938	1874	121
939	1876	119
940	1878	117
941	1881	115
942	1883	113
943	1884	111
944	1886	109
945	1888	107
946	1891	105
947	1893	103
948	1895	101
949	1898	99
950	1900	97
951	1902	95
952	1904	93
953	1907	91
954	1909	89
955	1911	87
956	1914	86
957	1916	84
958	1918	82
959	1920	80
960	1923	78
961	1925	76
962	1928	74
963	1930	72
964	1932	70
965	1935	68
966	1937	66
967	1939	64
968	1942	62
969	1944	60
970	1946	58
971	1949	56
972	1951	54
973	1953	52
974	1955	50
975	1958	48
976	1960	46
977	1962	44
978	1965	42
979	1967	40
980	1969	38
981	1971	36
982	1974	34
983	1976	32
984	1978	30
985	1981	28
986	1983	26
987	1985	24
988	1988	22
989	1990	20
990	1992	18
991	1994	16
992	1997	14
993	1999	12
994	2001	10
995	2004	8
996	2006	6
997	2008	4
998	2011	2
999	2013	0
