iter	Logloss
0	0.644129823
1	0.600903374
2	0.560658206
3	0.5224340892
4	0.488146203
5	0.456840985
6	0.4278665582
7	0.4027332295
8	0.3783602449
9	0.3564912231
10	0.3365157231
11	0.318717084
12	0.3019839648
13	0.2856698582
14	0.270174983
15	0.2562486307
16	0.24482293
17	0.2335704457
18	0.2239002888
19	0.2151989531
20	0.2069548218
21	0.1986039908
22	0.1916214168
23	0.1844637918
24	0.1783928745
25	0.1724511647
26	0.1674976964
27	0.1625885614
28	0.15790578
29	0.1540595807
30	0.1497572063
31	0.1456999457
32	0.142094408
33	0.1389863246
34	0.1363376606
35	0.1333681258
36	0.1310458029
37	0.128792704
38	0.1264985496
39	0.1243946713
40	0.1221280028
41	0.119941566
42	0.1180240598
43	0.1162434463
44	0.1148350176
45	0.1133759462
46	0.1117447884
47	0.1103923943
48	0.1094591247
49	0.1083984599
50	0.1072412754
51	0.1062676662
52	0.1051748729
53	0.1040512488
54	0.103225529
55	0.1023286165
56	0.1015574436
57	0.1006245879
58	0.09987324913
59	0.0993329381
60	0.09857956335
61	0.09781301057
62	0.09712345649
63	0.09632693428
64	0.0958040299
65	0.09525848344
66	0.09477066085
67	0.09423293396
68	0.09365704892
69	0.09322569727
70	0.09259887315
71	0.09209138977
72	0.09153855511
73	0.09115516685
74	0.09074408008
75	0.0902521016
76	0.08986500491
77	0.08942505621
78	0.0891077875
79	0.08870573407
80	0.08839691699
81	0.08808036424
82	0.08779832834
83	0.0875256558
84	0.08717374158
85	0.08691175243
86	0.08667206415
87	0.08648371207
88	0.08620288994
89	0.08595761386
90	0.08567863755
91	0.08546486348
92	0.08524122266
93	0.08504062104
94	0.08478532718
95	0.08458154852
96	0.08433188162
97	0.08412733106
98	0.08385984359
99	0.08369755116
100	0.08347236096
101	0.08325523086
102	0.08306149234
103	0.08280124273
104	0.08256477065
105	0.08238413746
106	0.08222653789
107	0.08205845069
108	0.08185937048
109	0.0817296484
110	0.08156879347
111	0.08142738678
112	0.08126841123
113	0.08108401928
114	0.0809178618
115	0.08076319317
116	0.08066873187
117	0.08051994749
118	0.08030256008
119	0.0801287061
120	0.07997704112
121	0.07982525867
122	0.07957174351
123	0.07937034764
124	0.07922581424
125	0.07909753525
126	0.0789946503
127	0.07887222201
128	0.07866614445
129	0.07855434362
130	0.07842165704
131	0.07825238404
132	0.07800072589
133	0.07785111928
134	0.07771138502
135	0.0775312832
136	0.07748128941
